"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Keon Coleman","WR","BUF",8.81,1.25,0.103,7.03,10.1,-0.536,-0.651,-0.687,185,218,207,39,"8",NA,NA,55
"Bud Dupree","DL","LAC",1.63,0.106,0.025,1.56,1.69,-0.55,-0.505,-0.595,186,196,194,25,"11",NA,NA,45
"Eddy Pineiro","K","SF",7.87,1.5,0.0109,5.82,9.16,-0.551,-0.89,-0.686,187,271,206,20,"2",NA,NA,77
"Chris Boswell","K","PIT",7.86,1.46,0.0658,5.71,8.94,-0.562,-0.992,-0.902,188,290,250,21,"2",NA,NA,74
"Cardinals","DST","ARI",3.44,0.323,0.111,3.11,3.89,-0.568,0,-1.29,189,130,333,7,"7",NA,NA,13
"AShawn Robinson","DL","CAR",1.6,NA,0.025,1.6,1.6,-0.575,-0.463,-0.688,190,188,208,26,"11",NA,NA,NA
"Josh Allen","DL","JAC",1.6,0.0707,0,1.56,1.65,-0.575,-0.508,-0.642,190,197,202,26,"11",NA,NA,36
"Aidan Hutchinson","DL","DET",1.6,0.0707,0,1.56,1.65,-0.575,-0.508,-0.642,190,197,202,26,"11",NA,NA,36
"Ivan Pace","LB","MIN",3.48,0.247,0.125,3.32,3.63,-0.575,-0.645,-0.562,191,216,191,18,"8",NA,NA,52
"Kyle Pitts","TE","ATL",6.56,0.373,0.123,6.13,7.05,-0.588,0.365,-0.821,192,109,228,16,"6",NA,NA,1
"Harold Landry","DL","NE",1.58,0.0354,0.075,1.55,1.6,-0.6,-0.51,-0.69,193,199,210,27,"12",NA,NA,21
"Talanoa Hufanga","DB","DEN",4.55,0.354,0.025,4.32,4.77,-0.6,-0.738,-0.555,194,234,189,26,"9",NA,NA,90
"Jalen Ramsey","DB","PIT",4.53,0.177,0.025,4.41,4.64,-0.625,-0.65,-0.692,195,217,211,27,"9",NA,NA,54
"Michael Jackson","DB","CAR",4.53,0.106,0,4.46,4.59,-0.625,-0.605,-0.737,195,212,216,27,"9",NA,NA,37
"Cam Little","K","JAC",7.8,1.24,0.00369,5.97,8.76,-0.628,-0.739,-1.08,196,235,296,22,"2",NA,NA,32
"Cairo Santos","K","CHI",7.79,1.25,0.0767,6.22,8.97,-0.631,-0.483,-0.873,197,190,240,23,"2",NA,NA,35
"Tre Tucker","WR","LVR",8.7,1.05,0.0317,7.67,10.2,-0.639,-0.0092,-0.619,198,135,198,40,"8",NA,NA,32
"Jessie Bates","DB","ATL",4.5,0.212,0.025,4.36,4.64,-0.65,-0.698,-0.695,199,229,212,28,"9",NA,NA,68
"Tykee Smith","DB","TB",4.5,0,0,4.5,4.5,-0.65,-0.563,-0.83,199,207,230,28,"9",NA,NA,1
"Calvin Ridley","WR","TEN",8.67,0.815,0.176,7.68,9.48,-0.671,0,-1.34,200,130,348,41,"8",NA,NA,10
"Cameron Jordan","DL","NO",1.5,NA,0.025,1.5,1.5,-0.675,-0.563,-0.788,201,206,223,28,"12",NA,NA,NA
"Leonard Williams","DL","SEA",1.5,NA,0,1.5,1.5,-0.675,-0.563,-0.788,201,206,223,28,"12",NA,NA,NA
"Jaelan Phillips","DL","MIA",1.5,NA,0,1.5,1.5,-0.675,-0.563,-0.788,201,206,223,28,"12",NA,NA,NA
"Cooper DeJean","DB","PHI",4.47,0.0354,0.025,4.45,4.5,-0.675,-0.61,-0.833,202,214,231,29,"9",NA,NA,14
"Bears","DST","CHI",3.32,0.32,0.00333,2.97,3.7,-0.679,-0.143,-1.48,203,147,381,8,"7",NA,NA,10
"Eagles","DST","PHI",3.32,0.543,0.0233,2.64,3.98,-0.683,-0.475,-1.2,204,189,321,9,"8",NA,NA,58
"Myles Garrett","DL","CLE",1.48,0.247,0.025,1.32,1.63,-0.7,-0.745,-0.655,206,237,204,29,"12",NA,NA,86
"Montez Sweat","DL","CHI",1.48,0.0354,0,1.45,1.5,-0.7,-0.61,-0.79,206,213,224,29,"12",NA,NA,11
"Demario Davis","LB","NO",3.35,0.212,0.05,3.22,3.48,-0.7,-0.748,-0.71,207,238,214,19,"8",NA,NA,46
"Tyrique Stevenson","DB","CHI",4.45,0.566,8.88e-16,4.09,4.81,-0.7,-0.973,-0.52,205,288,185,30,"9",NA,NA,99
"Denzel Ward","DB","CLE",4.45,0.0707,8.88e-16,4.4,4.5,-0.7,-0.658,-0.835,206,221,232,31,"9",NA,NA,17
"Paulson Adebo","DB","NYG",4.45,0.0707,0.05,4.4,4.49,-0.7,-0.658,-0.835,207,221,233,32,"9",NA,NA,27
"Seahawks","DST","SEA",3.3,0.985,0.0117,2.58,4.72,-0.706,-0.537,-0.45,208,204,171,10,"8",NA,NA,94
"Chad Ryland","K","ARI",7.72,1.28,0.143,5.84,8.66,-0.708,-0.871,-1.18,209,269,313,24,"2",NA,NA,42
"Dalton Schultz","TE","HOU",6.44,0.719,0.154,5.41,7.22,-0.711,-0.356,-0.651,210,173,203,17,"6",NA,NA,34
"Rams","DST","LAR",3.29,0.38,0.035,2.91,3.81,-0.718,-0.2,-1.37,211,152,356,11,"9",NA,NA,26
"Braden Fiske","DL","LAR",1.45,NA,2.22e-16,1.45,1.45,-0.725,-0.613,-0.838,212,215,234,30,"12",NA,NA,NA
"Keeanu Benton","DL","PIT",1.45,0.141,0.025,1.36,1.54,-0.725,-0.703,-0.748,213,230,217,31,"12",NA,NA,62
"Patrick Jones","DL","CAR",1.42,0.177,2.22e-16,1.31,1.54,-0.75,-0.75,-0.75,215,239,218,32,"12",NA,NA,70
"Teair Tart","DL","LAC",1.42,0.0354,0.025,1.4,1.45,-0.75,-0.66,-0.84,216,222,235,33,"13",NA,NA,21
"Patrick Queen","LB","PIT",3.3,0.283,0.025,3.12,3.48,-0.75,-0.843,-0.715,217,259,215,20,"8",NA,NA,54
"Terrel Bernard","LB","BUF",3.3,0.636,0,2.9,3.7,-0.75,-1.07,-0.49,217,310,177,20,"8",NA,NA,91
"Renardo Green","DB","SF",4.4,0.283,0.025,4.22,4.58,-0.75,-0.843,-0.75,214,260,218,33,"9",NA,NA,83
"Patriots","DST","NE",3.25,0.476,0.0525,2.61,3.74,-0.753,-0.5,-1.43,218,193,369,12,"10",NA,NA,45
"Zach Harrison","DL","ATL",1.4,NA,2.22e-16,1.4,1.4,-0.775,-0.663,-0.888,219,223,242,34,"13",NA,NA,NA
"Danielle Hunter","DL","HOU",1.4,0.141,0.025,1.31,1.49,-0.775,-0.753,-0.798,220,241,226,35,"13",NA,NA,62
"Darrell Taylor","DL","HOU",1.4,NA,0,1.4,1.4,-0.775,-0.663,-0.888,220,224,243,35,"13",NA,NA,NA
"Byron Young","DL","LAR",1.4,NA,0,1.4,1.4,-0.775,-0.663,-0.888,220,224,243,35,"13",NA,NA,NA
"Quincy Williams","LB","NYJ",3.28,0.0354,0.025,3.25,3.3,-0.775,-0.71,-0.898,220,232,249,21,"8",NA,NA,7
"Isaiah Rodgers","DB","MIN",4.38,0.389,0.025,4.13,4.62,-0.775,-0.935,-0.707,220,281,213,34,"10",NA,NA,92
"Ahmad Gardner","DB","NYJ",4.38,0.0354,0,4.35,4.4,-0.775,-0.71,-0.933,220,231,256,34,"10",NA,NA,7
"Kayvon Thibodeaux","DL","NYG",1.38,0.0354,0.025,1.35,1.4,-0.8,-0.71,-0.89,221,232,245,36,"13",NA,NA,21
"Pete Werner","LB","NO",3.25,0.141,0.025,3.16,3.34,-0.8,-0.803,-0.855,222,246,237,22,"8",NA,NA,24
"Jack Campbell","LB","DET",3.25,0,0,3.25,3.25,-0.8,-0.713,-0.945,222,233,263,22,"8",NA,NA,1
"Amani Hooker","DB","TEN",4.35,0.141,0.025,4.26,4.44,-0.8,-0.803,-0.89,222,247,246,35,"10",NA,NA,42
"Packers","DST","GB",3.2,0.765,0.0208,2.12,3.86,-0.805,-0.987,-1.32,223,289,341,13,"10",NA,NA,81
"Kyle Van Noy","DL","BAL",1.35,NA,0.025,1.35,1.35,-0.825,-0.713,-0.938,224,233,257,37,"13",NA,NA,NA
"Kobie Turner","DL","LAR",1.35,NA,0,1.35,1.35,-0.825,-0.713,-0.938,224,233,257,37,"13",NA,NA,NA
"Lavonte David","LB","TB",3.22,0.177,0.025,3.11,3.34,-0.825,-0.85,-0.857,225,261,238,23,"8",NA,NA,31
"Christian Rozeboom","LB","CAR",3.22,0.177,0,3.11,3.34,-0.825,-0.85,-0.857,225,261,238,23,"8",NA,NA,31
"Evan Williams","DB","GB",4.32,0.106,0.025,4.26,4.39,-0.825,-0.805,-0.938,224,249,257,36,"10",NA,NA,37
"Commanders","DST","WAS",3.18,0.521,0.0375,2.71,3.92,-0.826,-0.4,-1.25,226,179,329,14,"11",NA,NA,55
"Cooper Kupp","WR","SEA",8.49,1.32,0.126,6.58,9.8,-0.846,-1.1,-1.02,227,317,277,42,"8",NA,NA,59
"DeForest Buckner","DL","IND",1.33,0.106,0.025,1.26,1.39,-0.85,-0.805,-0.895,229,248,248,38,"14",NA,NA,58
"Jalen Redmond","DL","MIN",1.33,0.0354,0,1.3,1.35,-0.85,-0.76,-0.94,229,242,258,38,"14",NA,NA,21
"Quay Walker","LB","GB",3.2,0.212,4.44e-16,3.06,3.34,-0.85,-0.898,-0.86,230,274,239,24,"8",NA,NA,40
"SirVocea Dennis","LB","TB",3.2,0.354,0,2.98,3.42,-0.85,-0.987,-0.77,230,289,220,24,"8",NA,NA,64
"Edgerrin Cooper","LB","GB",3.2,0.495,0.125,2.88,3.51,-0.85,-1.08,-0.68,231,311,205,25,"9",NA,NA,82
"Patrick Surtain II","DB","DEN",4.3,0.212,8.88e-16,4.17,4.44,-0.85,-0.898,-0.895,228,273,247,37,"10",NA,NA,68
"Jaquan Brisker","DB","CHI",4.3,0.141,0,4.21,4.39,-0.85,-0.853,-0.94,228,262,259,37,"10",NA,NA,48
"Tony Adams","DB","NYJ",4.3,0.0707,0.025,4.26,4.34,-0.85,-0.808,-0.985,230,251,272,38,"10",NA,NA,17
"Nick Folk","K","NYJ",7.57,1.32,0.106,5.71,8.81,-0.851,-0.999,-1.03,232,294,280,25,"2",NA,NA,48
"Chargers","DST","LAC",3.14,0.417,0.0233,2.59,3.58,-0.863,-0.525,-1.59,233,201,401,15,"12",NA,NA,35
"Chigoziem Okonkwo","TE","TEN",6.28,0.513,0.0427,5.48,6.66,-0.865,-0.289,-1.21,234,161,323,18,"6",NA,NA,3
"Zach Sieler","DL","MIA",1.3,0.0707,0.025,1.26,1.34,-0.875,-0.808,-0.943,236,250,261,39,"14",NA,NA,36
"Jeffery Simmons","DL","TEN",1.3,NA,0,1.3,1.3,-0.875,-0.763,-0.988,236,243,273,39,"14",NA,NA,NA
"Nick Cross","DB","IND",4.28,0.0354,0.025,4.25,4.3,-0.875,-0.81,-1.03,235,252,279,39,"10",NA,NA,14
"Trent McDuffie","DB","KC",4.28,0.177,0,4.16,4.39,-0.875,-0.9,-0.942,235,276,260,39,"10",NA,NA,54
"Panthers","DST","CAR",3.12,0.495,0.0775,2.55,3.7,-0.887,-0.562,-1.48,237,205,380,16,"13",NA,NA,48
"Dorance Armstrong","DL","WAS",1.28,0.106,0.025,1.21,1.34,-0.9,-0.855,-0.945,238,263,262,40,"14",NA,NA,45
"Xavier McKinney","DB","GB",4.25,0,0.025,4.25,4.25,-0.9,-0.813,-1.08,239,254,294,40,"10",NA,NA,1
"Kamari Lassiter","DB","HOU",4.25,0,0,4.25,4.25,-0.9,-0.813,-1.08,239,254,294,40,"10",NA,NA,1
"Brenton Strange","TE","JAC",6.24,0.574,0.00771,5.39,6.85,-0.908,-0.375,-1.02,240,176,278,19,"6",NA,NA,6
"Jonnu Smith","TE","PIT",6.23,0.669,0.158,5.41,7.1,-0.916,-0.359,-0.77,241,175,221,20,"7",NA,NA,26
"Devonte Wyatt","DL","GB",1.25,0.0707,0.025,1.2,1.3,-0.925,-0.858,-0.993,242,264,274,41,"14",NA,NA,32
"Sam Williams","DL","DAL",1.25,0.212,0,1.12,1.39,-0.925,-0.948,-0.902,242,282,251,41,"14",NA,NA,76
"Nolan Smith","DL","PHI",1.25,0.141,0,1.16,1.34,-0.925,-0.903,-0.948,242,277,264,41,"14",NA,NA,68
"Jalen Carter","DL","PHI",1.25,NA,0,1.25,1.25,-0.925,-0.813,-1.04,242,253,282,41,"14",NA,NA,NA
"Kyle Hamilton","DB","BAL",4.22,0.0354,0.025,4.2,4.25,-0.925,-0.86,-1.08,243,266,295,41,"10",NA,NA,7
"Kyler Murray","QB","ARI",17.6,1.79,0.22,15.2,19.9,-0.932,-1.27,-0.572,244,354,192,16,"6",NA,NA,63
"RJ Harvey","RB","DEN",6.35,0.884,0.527,5.02,6.97,-0.947,-0.0078,-1.5,245,134,387,37,"11",NA,NA,23
"Leonard Floyd","DL","ATL",1.23,0.46,0.025,0.933,1.52,-0.95,-1.13,-0.77,246,322,219,42,"15",NA,NA,99
"Dayo Odeyingbo","DL","CHI",1.23,0.247,0,1.07,1.38,-0.95,-0.995,-0.905,246,291,252,42,"15",NA,NA,86
"Keion White","DL","NE",1.23,0.46,0,0.933,1.52,-0.95,-1.13,-0.77,246,322,219,42,"15",NA,NA,99
"Dante Stills","DL","ARI",1.23,0.0354,0,1.2,1.25,-0.95,-0.86,-1.04,246,265,283,42,"15",NA,NA,11
"Will Johnson","DB","ARI",4.2,0.283,8.88e-16,4.02,4.38,-0.95,-1.04,-0.95,246,303,265,42,"10",NA,NA,83
"Jaylen Watson","DB","KC",4.2,0.212,0.025,4.06,4.34,-0.95,-0.998,-0.995,247,293,275,43,"11",NA,NA,68
"Evan McPherson","K","CIN",7.47,1.12,0.393,5.89,8.52,-0.957,-0.82,-1.33,248,255,342,26,"2",NA,NA,16
"Jets","DST","NYJ",3.04,0.513,0.0767,2.58,3.78,-0.964,-0.534,-1.4,249,203,364,17,"14",NA,NA,52
"Matthew Golden","WR","GB",8.37,1.96,0.0111,6.81,11.4,-0.972,-0.87,0.546,250,268,95,43,"8",NA,NA,89
"David Onyemata","DL","ATL",1.2,NA,2.22e-16,1.2,1.2,-0.975,-0.863,-1.09,252,267,298,43,"15",NA,NA,NA
"Justin Madubuike","DL","BAL",1.2,NA,0,1.2,1.2,-0.975,-0.863,-1.09,252,267,298,43,"15",NA,NA,NA
"Chop Robinson","DL","MIA",1.2,0.212,0,1.06,1.34,-0.975,-0.998,-0.953,252,292,266,43,"15",NA,NA,76
"Demarcus Lawrence","DL","SEA",1.2,0.0707,0.025,1.15,1.25,-0.975,-0.908,-1.04,253,278,285,44,"15",NA,NA,36
"Devin Bush","LB","CLE",3.08,0.46,0.05,2.78,3.37,-0.975,-1.18,-0.828,254,333,229,26,"9",NA,NA,78
"Cam Taylor-Britt","DB","CIN",4.18,0.177,0.025,4.06,4.29,-0.975,-1,-1.04,251,295,284,44,"11",NA,NA,54
"Tariq Woolen","DB","SEA",4.18,0.106,0,4.11,4.24,-0.975,-0.955,-1.09,251,283,299,44,"11",NA,NA,32
"Xavier Worthy","WR","KC",8.36,2.38,0.0668,5.1,10.5,-0.983,-2.58,-0.281,255,546,150,44,"8",NA,NA,97
"Derick Hall","DL","SEA",1.18,0.0354,2.22e-16,1.15,1.2,-1,-0.91,-1.09,256,279,300,45,"15",NA,NA,21
"Dante Fowler","DL","DAL",1.18,0.106,0.025,1.11,1.24,-1,-0.955,-1.04,257,284,286,46,"15",NA,NA,45
"Travon Walker","DL","JAC",1.18,0.106,0,1.11,1.24,-1,-0.955,-1.04,257,284,286,46,"15",NA,NA,45
"YaYa Diaby","DL","TB",1.18,0.247,0,1.02,1.33,-1,-1.05,-0.955,257,304,267,46,"15",NA,NA,86
"Jonah Elliss","DL","DEN",1.18,0.106,0,1.11,1.24,-1,-0.955,-1.04,257,284,286,46,"15",NA,NA,45
"Calais Campbell","DL","ARI",1.18,0.318,0,0.972,1.38,-1,-1.09,-0.91,257,312,253,46,"15",NA,NA,95
"Kevin Byard","DB","CHI",4.15,0.0707,0.025,4.1,4.2,-1,-0.958,-1.13,256,285,306,45,"11",NA,NA,27
"DeShon Elliott","DB","PIT",4.15,0.283,0,3.97,4.33,-1,-1.09,-1,256,314,276,45,"11",NA,NA,82
"Christian Gonzalez","DB","NE",4.15,0.0707,0,4.1,4.2,-1,-0.958,-1.13,256,285,306,45,"11",NA,NA,27
"Grover Stewart","DL","IND",1.15,0.283,2.22e-16,0.97,1.33,-1.03,-1.09,-0.958,258,313,268,47,"15",NA,NA,91
"Arik Armstead","DL","JAC",1.15,0.141,0.025,1.06,1.24,-1.03,-1,-1.05,259,297,287,48,"15",NA,NA,62
"Jarran Reed","DL","SEA",1.15,NA,0,1.15,1.15,-1.03,-0.913,-1.14,259,280,307,48,"15",NA,NA,NA
"Jamien Sherwood","LB","NYJ",3.03,0.177,0.075,2.91,3.14,-1.03,-1.05,-1.06,259,305,291,27,"10",NA,NA,31
"Calen Bullock","DB","HOU",4.12,0.247,0.05,3.97,4.28,-1.03,-1.1,-1.05,259,315,288,46,"11",NA,NA,80
"Titans","DST","TEN",2.96,0.405,0.0125,2.51,3.46,-1.04,-0.599,-1.72,260,211,431,18,"14",NA,NA,32
"Khalil Shakir","WR","BUF",8.29,0.996,0.355,6.79,9.04,-1.05,-0.892,-1.78,262,272,441,45,"9",NA,NA,25
"Dolphins","DST","MIA",2.95,0.468,0.0267,2.34,3.49,-1.05,-0.775,-1.69,263,244,424,19,"14",NA,NA,42
"Joey Bosa","DL","BUF",1.12,0.0354,0.025,1.1,1.15,-1.05,-0.96,-1.14,261,286,308,49,"16",NA,NA,11
"Haason Reddick","DL","TB",1.12,0.106,0,1.06,1.19,-1.05,-1.01,-1.1,261,298,302,49,"16",NA,NA,58
"Josh Sweat","DL","ARI",1.12,0.318,0,0.923,1.33,-1.05,-1.14,-0.96,261,323,269,49,"16",NA,NA,95
"Kwity Paye","DL","IND",1.12,0.0354,0,1.1,1.15,-1.05,-0.96,-1.14,261,286,308,49,"16",NA,NA,11
"Malcolm Koonce","DL","LVR",1.12,0.318,0,0.923,1.33,-1.05,-1.14,-0.96,261,323,269,49,"16",NA,NA,95
"Harold Fannin","TE","CLE",6.07,1.41,0.79,4.26,7.63,-1.07,-1.51,-0.238,264,401,148,21,"8",NA,NA,89
"Jaguars","DST","JAC",2.92,0.355,0.0158,2.53,3.37,-1.08,-0.584,-1.81,267,209,447,20,"15",NA,NA,19
"Jonathan Allen","DL","MIN",1.1,NA,0.025,1.1,1.1,-1.08,-0.963,-1.19,265,287,315,50,"16",NA,NA,NA
"Sebastian Joseph","DL","TEN",1.1,NA,0,1.1,1.1,-1.08,-0.963,-1.19,265,287,315,50,"16",NA,NA,NA
"Dexter Lawrence","DL","NYG",1.1,0,0,1.1,1.1,-1.08,-0.963,-1.19,265,287,315,50,"16",NA,NA,1
"Broderick Washington","DL","BAL",1.1,NA,0,1.1,1.1,-1.08,-0.963,-1.19,265,287,315,50,"16",NA,NA,NA
"Christian Barmore","DL","NE",1.1,NA,0,1.1,1.1,-1.08,-0.963,-1.19,265,287,315,50,"16",NA,NA,NA
"Milton Williams","DL","NE",1.1,NA,0,1.1,1.1,-1.08,-0.963,-1.19,265,287,315,50,"16",NA,NA,NA
"Charles Snowden","DL","LVR",1.1,NA,0,1.1,1.1,-1.08,-0.963,-1.19,265,287,315,50,"16",NA,NA,NA
"Jonah Laulu","DL","LVR",1.1,0.212,0,0.965,1.24,-1.08,-1.1,-1.05,265,316,289,50,"16",NA,NA,75
"Kamren Kinchens","DB","LAR",4.07,0.0354,0.025,4.05,4.1,-1.08,-1.01,-1.23,266,300,324,47,"11",NA,NA,7
"Falcons","DST","ATL",2.91,0.379,0.0025,2.53,3.44,-1.1,-0.584,-1.73,268,209,432,21,"15",NA,NA,23
"Ravens","DST","BAL",2.9,0.303,0.05,2.59,3.28,-1.1,-0.525,-1.89,269,202,466,22,"16",NA,NA,6
"Ed Oliver","DL","BUF",1.08,0.0354,2.22e-16,1.05,1.1,-1.1,-1.01,-1.19,270,299,316,51,"16",NA,NA,21
"Dre'Mont Jones","DL","TEN",1.08,0.0354,0,1.05,1.1,-1.1,-1.01,-1.19,270,299,316,51,"16",NA,NA,21
"Jalyx Hunt","DL","PHI",1.08,0.0354,0,1.05,1.1,-1.1,-1.01,-1.19,270,299,316,51,"16",NA,NA,21
"Arnold Ebiketie","DL","ATL",1.08,0.247,0.025,0.918,1.23,-1.1,-1.15,-1.06,271,324,290,52,"16",NA,NA,84
"Divine Deablo","LB","ATL",2.95,0.707,0.025,2.5,3.4,-1.1,-1.46,-0.795,272,386,225,28,"10",NA,NA,97
"Nate Landman","LB","LAR",2.95,0.212,0,2.82,3.08,-1.1,-1.15,-1.11,272,325,304,28,"10",NA,NA,40
"Dee Winters","LB","SF",2.95,0.212,0,2.82,3.08,-1.1,-1.15,-1.11,272,326,304,28,"10",NA,NA,46
"Chauncey Gardner-Johnson","DB","HOU",4.05,0.0707,0.05,4,4.1,-1.1,-1.06,-1.24,272,307,325,48,"12",NA,NA,17
"John Franklin-Myers","DL","DEN",1.05,NA,0.025,1.05,1.05,-1.13,-1.01,-1.24,273,301,327,53,"16",NA,NA,NA
"Michael Danna","DL","KC",1.05,0,0,1.05,1.05,-1.13,-1.01,-1.24,273,301,327,53,"16",NA,NA,1
"Otito Ogbonnia","DL","LAC",1.05,NA,0,1.05,1.05,-1.13,-1.01,-1.24,273,301,327,53,"16",NA,NA,NA
"Jared Verse","DL","LAR",1.05,0.0707,0,1.01,1.1,-1.13,-1.06,-1.19,273,306,317,53,"16",NA,NA,36
"Tyler Baron","DL","NYJ",1.05,NA,0,1.05,1.05,-1.13,-1.01,-1.24,273,301,327,53,"16",NA,NA,NA
"Azeez Al-Shaair","LB","HOU",2.92,0.318,0.025,2.72,3.13,-1.13,-1.24,-1.07,274,343,293,29,"10",NA,NA,61
"Matthew Stafford","QB","LAR",17.4,0.882,0.0281,16.5,18.6,-1.15,0,-1.81,279,130,449,17,"6",NA,NA,11
"Colts","DST","IND",2.86,0.434,0.0442,2.28,3.33,-1.15,-0.837,-1.85,275,258,456,23,"17",NA,NA,39
"D.J. Jones","DL","DEN",1.03,0.106,2.22e-16,0.958,1.09,-1.15,-1.11,-1.2,276,318,319,54,"16",NA,NA,55
"Harrison Phillips","DL","NYJ",1.03,0.247,0,0.868,1.18,-1.15,-1.2,-1.1,276,334,303,54,"16",NA,NA,86
"Joseph Ossai","DL","CIN",1.03,0.106,0,0.958,1.09,-1.15,-1.11,-1.2,276,318,319,54,"16",NA,NA,55
"Davon Hamilton","DL","JAC",1.02,0.318,0.025,0.822,1.23,-1.15,-1.24,-1.06,277,344,292,55,"16",NA,NA,93
"Germaine Pratt","LB","LVR",2.9,0.636,0.05,2.5,3.3,-1.15,-1.47,-0.89,278,388,246,30,"10",NA,NA,90
"Alohi Gilman","DB","LAC",4,0.212,4.44e-16,3.86,4.14,-1.15,-1.2,-1.19,277,335,318,49,"12",NA,NA,73
"Quinyon Mitchell","DB","PHI",4,0.212,0.075,3.86,4.14,-1.15,-1.2,-1.2,278,335,320,50,"12",NA,NA,68
"Jake Browning","QB","CIN",17.4,1.76,0.00925,15.2,19.5,-1.18,-1.33,-0.974,281,363,270,18,"6",NA,NA,60
"Derek Barnett","DL","HOU",1,0,0.025,1,1,-1.18,-1.06,-1.29,280,309,332,56,"17",NA,NA,1
"Bryan Bresee","DL","NO",1,NA,0,1,1,-1.18,-1.06,-1.29,280,309,332,56,"17",NA,NA,NA
"Josaiah Stewart","DL","LAR",1,0,0,1,1,-1.18,-1.06,-1.29,280,309,332,56,"17",NA,NA,1
"C.J. Stroud","QB","HOU",17.4,1.22,0.187,16,19,-1.19,-0.521,-1.47,282,200,378,19,"6",NA,NA,23
"Buccaneers","DST","TB",2.81,0.225,0.0208,2.61,3.13,-1.19,-0.501,-2.05,283,195,487,24,"17",NA,NA,1
"Gervon Dexter","DL","CHI",0.975,0.0354,1.11e-16,0.952,0.998,-1.2,-1.11,-1.29,284,319,334,57,"17",NA,NA,20
"Darius Robinson","DL","ARI",0.975,0.177,0,0.862,1.09,-1.2,-1.2,-1.2,284,336,322,57,"17",NA,NA,70
"Isaiah McGuire","DL","CLE",0.975,0.247,0.025,0.818,1.13,-1.2,-1.25,-1.16,284,345,310,58,"17",NA,NA,83
"Devin Lloyd","LB","JAC",2.85,0.354,0.075,2.62,3.07,-1.2,-1.34,-1.12,285,364,305,31,"10",NA,NA,64
"49ers","DST","SF",2.79,0.61,0.0317,1.94,3.32,-1.21,-1.17,-1.85,286,331,458,25,"18",NA,NA,71
"Darius Slay","DB","PIT",3.93,0.177,8.88e-16,3.81,4.04,-1.22,-1.25,-1.29,287,347,335,51,"12",NA,NA,65
"Tommy Togiai","DL","HOU",0.95,NA,1.11e-16,0.95,0.95,-1.23,-1.11,-1.34,288,320,343,59,"17",NA,NA,NA
"Sheldon Rankins","DL","HOU",0.95,0.0707,0.025,0.905,0.995,-1.23,-1.16,-1.29,289,327,336,60,"17",NA,NA,34
"Adam Butler","DL","LVR",0.95,0,0,0.95,0.95,-1.23,-1.11,-1.34,289,321,344,60,"17",NA,NA,1
"Zach Allen","DL","DEN",0.95,NA,0,0.95,0.95,-1.23,-1.11,-1.34,289,321,344,60,"17",NA,NA,NA
"Nick Herbig","DL","PIT",0.95,NA,0,0.95,0.95,-1.23,-1.11,-1.34,289,321,344,60,"17",NA,NA,NA
"Terrion Arnold","DB","DET",3.92,0.106,0.075,3.86,3.99,-1.23,-1.21,-1.34,290,338,345,52,"12",NA,NA,34
"Bengals","DST","CIN",2.76,0.381,0.0433,2.33,3.18,-1.25,-0.781,-2,291,245,478,26,"19",NA,NA,29
"Alex Anzalone","LB","DET",2.78,0.106,0.025,2.71,2.84,-1.28,-1.26,-1.35,294,349,352,32,"10",NA,NA,18
"Raiders","DST","LVR",2.72,0.924,0.0158,1.42,3.58,-1.29,-1.69,-1.6,295,437,405,27,"19",NA,NA,87
"Giants","DST","NYG",2.7,0.331,0.04,2.28,3.08,-1.3,-0.837,-2.1,299,258,497,28,"20",NA,NA,16
"Jeremiah Trotter Jr.","LB","PHI",2.75,NA,0.075,2.75,2.75,-1.3,-1.21,-1.45,298,341,375,33,"11",NA,NA,NA
"Dee Alford","DB","ATL",3.85,NA,4.44e-16,3.85,3.85,-1.3,-1.21,-1.48,296,341,382,53,"12",NA,NA,NA
"Josh Metellus","DB","MIN",3.85,0.0707,4.44e-16,3.8,3.9,-1.3,-1.26,-1.43,297,351,370,54,"12",NA,NA,27
"Zyon McCollum","DB","TB",3.85,0.141,0.05,3.76,3.94,-1.3,-1.3,-1.39,298,358,361,55,"13",NA,NA,46
"Cowboys","DST","DAL",2.66,0.288,0.217,2.46,3.09,-1.34,-0.654,-2.08,301,219,494,29,"21",NA,NA,3
"Ryan Fitzgerald","K","CAR",7.08,1.03,0.316,5.69,8.2,-1.35,-1.02,-1.64,305,302,411,27,"2",NA,NA,13
"Tarheeb Still","DB","LAC",3.8,0.283,0.025,3.62,3.98,-1.35,-1.44,-1.35,304,377,351,56,"13",NA,NA,83
"Justin Fields","QB","NYJ",17.2,3.73,0.338,11.5,19.8,-1.38,-4.99,-0.596,310,812,195,20,"6",NA,NA,91
"Jordyn Brooks","LB","MIA",2.68,0.389,4.44e-16,2.43,2.92,-1.38,-1.54,-1.27,308,407,331,34,"11",NA,NA,72
"Bobby Wagner","LB","WAS",2.68,0.53,0.175,2.34,3.01,-1.38,-1.63,-1.18,309,422,314,35,"11",NA,NA,84
"Derwin James","DB","LAC",3.78,0.106,0.025,3.71,3.84,-1.38,-1.36,-1.49,306,365,383,57,"13",NA,NA,37
