gm,player,position,year,dead_cap_amount
Nick Piper,Kayvon Thibodeaux,LB,2026,1.0
Nick Piper,Devin White,LB,2026,2.0
Nick Piper,Derek Stingley,DB,2026,1.0
Nick Piper,Baltimore Ravens,D/ST,2026,1.0
TJ Hrabek,Justin Fields,QB,2026,1.0
TJ Hrabek,Joe Mixon,RB,2026,8.0
TJ Hrabek,Devin Neal,RB,2026,1.0
TJ Hrabek,Miles Sanders,RB,2026,5.0
TJ Hrabek,Emari Demercado,RB,2026,3.0
TJ Hrabek,Jaleel McLaughlin,RB,2026,1.0
TJ Hrabek,Ty Chandler,RB,2026,1.0
TJ Hrabek,DeAndre Hopkins,WR,2026,5.0
TJ Hrabek,Evan Engram,TE,2026,2.0
TJ Hrabek,Bradley Chubb,DL,2026,1.0
TJ Hrabek,Boye Mafe,DL,2026,1.0
TJ Hrabek,Keion White,DL,2026,1.0
TJ Hrabek,Josh Sweat,DL,2026,1.0
TJ Hrabek,Shaquille Leonard,LB,2026,3.0
TJ Hrabek,Nik Bonitto,LB,2026,1.0
TJ Hrabek,Patrick Queen,LB,2026,1.0
TJ Hrabek,Daiyan Henley,LB,2026,1.0
TJ Hrabek,Jessie Bates III,DB,2026,8.0
TJ Hrabek,Christian Gonzalez,DB,2026,1.0
TJ Hrabek,Jourdan Lewis,DB,2026,1.0
TJ Hrabek,Marcus Williams,DB,2026,1.0
TJ Hrabek,Devon Witherspoon,DB,2026,1.0
TJ Hrabek,Nick Cross,DB,2026,1.0
TJ Hrabek,Philadelphia Eagles,D/ST,2026,1.0
TJ Hrabek,Philadelphia Eagles (x2),D/ST,2026,1.0
TJ Hrabek,Spencer Shrader,K,2026,1.0
TJ Hrabek,Chase McLaughlin,K,2026,1.0
Andy Shepard,Daniel Jones,QB,2027,1.0
Chip Buckley,Amari Cooper,WR,2027,5.0
Eric Cookmeyer,Bryce Young,QB,2027,1.0
Eric Cookmeyer,Gus Edwards,RB,2027,2.0
Eric Cookmeyer,Emanuel Wilson,RB,2027,1.0
Eric Cookmeyer,D.J. Giddens,RB,2027,1.0
Eric Cookmeyer,Cooper Kupp,WR,2027,2.0
Eric Cookmeyer,Daron Payne,DL,2027,1.0
Gordon Peterson,San Francisco 49ers,D/ST,2027,1.0
