"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"JuJu Smith-Schuster*","2021","137","5.1","38.0","11.7","6.6","6.6","8.8","5.1","4.4","2.2","7.3","4.4"
"Russell Gage","2021","234","3.4","25.2","14.1","15.8","4.3","6.4","6.0","9.4","5.6","7.3","2.6"
"Jarvis Landry","2021","237","3.8","24.1","12.7","11.0","5.5","7.6","1.7","10.1","4.2","15.6","3.8"
"Christian Kirk","2021","269","3.7","17.8","13.0","9.7","16.0","8.2","7.8","6.7","3.3","11.9","1.9"
"Marquez Valdes-Scantling","2021","217","1.8","15.7","7.8","10.1","14.3","26.3","6.0","4.6","1.4","7.8","4.1"
"Ja'Marr Chase","2021","281","3.2","18.9","11.0","12.8","4.6","23.5","5.0","11.4","2.8","4.6","2.1"
"Jaylen Waddle","2021","270","5.2","24.4","11.1","8.1","8.9","10.4","2.2","7.8","2.2","14.4","5.2"
"Amon-Ra St. Brown","2021","221","5.4","21.3","8.6","8.6","10.4","12.2","3.2","6.8","1.4","14.5","7.7"
"DeVonta Smith","2021","216","3.2","17.1","20.8","13.0","5.1","17.1","4.6","7.9","4.2","4.6","2.3"
"Elijah Moore","2021","241","5.8","14.5","12.0","14.5","9.1","17.8","1.7","10.0","5.0","7.1","2.5"
"Rashod Bateman","2021","285","0.4","24.2","19.6","13.0","6.7","15.1","3.9","6.7","2.1","6.3","2.1"
"Joshua Palmer","2021","196","1.5","21.9","15.8","7.7","9.2","22.4","3.1","5.6","1.5","6.6","4.6"
"Nico Collins","2021","223","0.4","20.6","8.1","25.6","4.9","19.3","3.6","8.5","5.4","2.2","1.3"
"Kadarius Toney","2021","183","6.6","19.1","12.6","8.2","6.0","14.2","2.7","5.5","3.3","14.2","7.7"
"Rondale Moore","2021","154","29.9","16.2","5.8","3.2","7.8","6.5","1.9","2.6","1.9","15.6","8.4"
"Terrace Marshall","2021","214","3.7","20.6","11.7","15.0","7.9","14.5","1.9","7.9","1.9","11.7","3.3"
"A.J. Brown","2021","230","2.6","22.6","13.0","11.3","10.4","12.2","4.8","10.4","4.3","5.7","2.6"
"Hunter Renfrow","2021","249","3.2","25.7","15.3","6.8","7.2","6.8","3.2","4.0","2.4","15.7","9.6"
"Darnell Mooney","2021","278","5.4","23.7","18.7","6.8","6.5","11.5","2.5","9.0","2.2","10.1","3.6"
"Michael Pittman","2021","273","3.3","20.1","19.0","21.2","7.7","9.2","4.0","8.1","1.1","3.7","2.6"
"Gabriel Davis","2021","235","0.4","13.6","25.1","15.3","10.2","18.3","5.1","2.6","1.3","5.5","2.6"
"Jerry Jeudy","2021","212","9.9","19.3","12.7","12.7","12.3","5.7","3.8","10.4","2.8","6.1","4.2"
"Marquise Brown","2021","310","3.9","12.3","23.2","5.8","10.0","16.8","3.2","4.5","6.8","9.7","3.9"
"CeeDee Lamb","2021","287","2.8","18.5","16.0","8.7","8.4","18.5","3.1","7.7","5.2","5.2","5.9"
"Deebo Samuel","2021","234","6.8","29.1","6.4","19.7","4.3","7.3","4.3","6.4","4.7","5.6","5.6"
"Justin Jefferson","2021","253","4.7","22.1","8.3","13.0","7.5","13.0","8.3","10.7","4.0","5.9","2.4"
"Tee Higgins","2021","290","1.7","28.3","11.0","10.3","6.6","14.5","5.5","8.3","4.5","6.2","3.1"
"Terry McLaurin","2021","299","1.7","21.7","6.4","16.1","15.7","13.7","5.4","6.7","8.0","1.0","3.7"
"DK Metcalf","2021","224","3.1","22.8","7.1","4.9","8.5","21.9","6.7","6.7","4.9","6.7","6.7"
"Brandon Aiyuk","2021","224","2.2","20.5","8.0","13.8","12.5","9.8","4.9","13.8","7.1","1.8","5.4"
"Diontae Johnson","2021","284","6.0","22.5","13.4","6.3","5.6","22.2","2.5","6.3","5.6","6.3","3.2"
"Chase Claypool","2021","267","4.9","24.7","8.2","2.2","7.5","29.2","1.9","10.1","3.0","6.4","1.9"
"Van Jefferson","2021","283","2.8","16.3","10.2","13.8","9.5","16.6","8.1","4.6","6.7","6.7","4.6"
"Mike Williams","2021","271","1.8","26.2","10.7","10.0","8.5","24.4","4.4","5.2","3.0","3.3","2.6"
"Chris Godwin","2021","316","8.2","23.7","9.2","10.8","13.3","8.9","4.4","7.9","0.9","8.5","4.1"
"Robert Woods","2021","276","6.9","20.3","10.9","13.0","4.7","8.7","3.6","11.6","8.3","8.0","4.0"
"DeAndre Hopkins","2021","254","2.4","21.3","21.3","5.9","7.1","20.5","5.5","4.7","5.9","2.8","2.8"
"Cooper Kupp","2021","272","10.7","17.3","11.4","9.9","11.4","5.9","4.8","9.6","1.8","13.6","3.7"
"Tyreek Hill","2021","267","3.7","21.7","12.0","5.6","17.2","9.7","6.7","9.7","3.4","6.4","3.7"
"Stefon Diggs","2021","269","0.7","17.5","26.8","9.3","6.3","21.9","2.6","4.5","1.9","5.2","3.3"
"Tyler Lockett","2021","238","3.8","13.4","13.9","5.9","9.2","16.8","6.7","9.7","5.5","11.3","3.8"
