"Player","Year","Man Att","SR v Man","Zone Att","SR v Zone","Dbl Att","SR v Dlbl","Press Att","SR v Press","Routes","Press%","Man%","Zone%","Double%"
"DeAndre Hopkins","2018","207","72.0%","112","83.0%","33","75.8%","112","69.6%","319","35.1%","64.9%","35.1%","10.3%"
"Michael Gallup","2020","164","72.0%","143","70.6%","6","66.7%","106","75.5%","307","34.5%","53.4%","46.6%","2.0%"
"Jaxon Smith-Njigba","2023","107","72.0%","119","81.5%","5","80.0%","33","69.7%","226","14.6%","47.3%","52.7%","2.2%"
"Zay Flowers","2024","75","72.0%","146","84.2%","8","25.0%","24","70.8%","221","10.9%","33.9%","66.1%","3.6%"
"Eric Decker","2015","167","71.9%","100","82.0%","10","50.0%","66","68.2%","267","24.7%","62.5%","37.5%","3.7%"
"D.J. Moore","2020","121","71.9%","155","81.3%","11","72.7%","86","73.3%","276","31.2%","43.8%","56.2%","4.0%"
"Mike Evans","2020","178","71.9%","98","79.6%","19","52.6%","116","67.2%","276","42.0%","64.5%","35.5%","6.9%"
"Calvin Ridley","2023","128","71.9%","158","80.4%","39","64.1%","63","66.7%","286","22.0%","44.8%","55.2%","13.6%"
"Keenan Allen","2023","146","71.9%","165","80.0%","22","45.5%","35","74.3%","311","11.3%","46.9%","53.1%","7.1%"
"A.J. Green","2015","124","71.8%","114","75.4%","24","75.0%","95","78.8%","238","39.9%","52.1%","47.9%","10.1%"
"T.Y. Hilton","2018","170","71.8%","110","80.0%","7","42.9%","75","64.0%","280","26.8%","60.7%","39.3%","2.5%"
"Drake London","2023","110","71.8%","142","81.7%","25","68.0%","34","76.5%","252","13.5%","43.7%","56.3%","9.9%"
"Allen Robinson","2014","113","71.7%","120","74.2%","15","33.3%","57","77.2%","233","24.5%","48.5%","51.5%","6.4%"
"Zay Flowers","2023","113","71.7%","173","85.0%","9","55.6%","35","62.9%","286","12.2%","39.5%","60.5%","3.1%"
"Julio Jones","2017","148","71.6%","74","73.0%","13","61.5%","84","66.7%","222","37.8%","66.7%","33.3%","5.9%"
"Michael Pittman","2020","102","71.6%","109","78.0%","4","75.0%","41","68.3%","211","19.4%","48.3%","51.7%","1.9%"
"Brandin Cooks","2022","95","71.6%","161","75.2%","17","52.9%","32","71.9%","256","12.5%","37.1%","62.9%","6.6%"
"Amon-Ra St. Brown","2023","95","71.6%","151","83.4%","16","81.3%","45","75.6%","246","18.3%","38.6%","61.4%","6.5%"
"Stefon Diggs","2024","81","71.6%","184","78.8%","8","75.0%","28","71.4%","265","10.6%","30.6%","69.4%","3.0%"
"Sterling Shepard","2016","161","71.4%","164","80.5%","1","0.0%","75","76.0%","325","23.1%","49.5%","50.5%","0.3%"
"Kenny Golladay*","2020","98","71.4%","38","78.9%","21","66.7%","53","66.0%","136","39.0%","72.1%","27.9%","15.4%"
"Tee Higgins","2021","140","71.4%","150","80.0%","6","100.0%","49","73.5%","290","16.9%","48.3%","51.7%","2.1%"
"Stefon Diggs","2015","157","71.3%","93","75.4%","3","33.3%","79","71.4%","250","31.6%","62.8%","37.2%","1.2%"
"Allen Robinson","2018","181","71.3%","88","71.6%","16","56.3%","101","69.3%","269","37.5%","67.3%","32.7%","5.9%"
"Chase Claypool","2020","108","71.3%","101","80.2%","3","33.3%","65","75.4%","209","31.1%","51.7%","48.3%","1.4%"
"Russell Gage","2021","87","71.3%","147","77.6%","4","50.0%","46","69.6%","234","19.7%","37.2%","62.8%","1.7%"
"Rishard Matthews","2017","146","71.2%","95","78.9%","1","100.0%","77","66.2%","241","32.0%","60.6%","39.4%","0.4%"
"Michael Gallup","2019","208","71.2%","92","79.3%","4","50.0%","82","67.1%","300","27.3%","69.3%","30.7%","1.3%"
"D.J. Moore","2022","125","71.2%","109","81.7%","41","68.3%","54","72.2%","234","23.1%","53.4%","46.6%","17.5%"
