"Player","Year","Total Routes","Screen","Slant","Curl","Dig","Post","Nine","Corner","Out","Comeback","Flat","Other"
"Rashee Rice","2023","214","100.0%","76.8%","81.8%","70.0%","50.0%","36.4%","42.9%","83.3%","75.0%","92.9%","61.5%"
"Jaylen Waddle","2023","226","100.0%","82.8%","100.0%","81.6%","59.3%","69.2%","84.6%","80.0%","25.0%","80.0%","83.3%"
"Michael Wilson","2023","259","100.0%","77.9%","90.5%","66.7%","81.3%","52.8%","71.4%","75.0%","42.9%","75.0%","80.0%"
"Demario Douglas","2023","229","100.0%","78.1%","62.5%","60.0%","70.0%","37.5%","55.6%","75.0%","66.7%","86.4%","71.4%"
"Rashid Shaheed","2023","233","100.0%","79.4%","80.0%","75.0%","80.0%","66.0%","25.0%","68.8%","66.7%","75.0%","71.4%"
"Brandon Aiyuk","2023","239","100.0%","89.5%","80.0%","93.6%","77.8%","60.0%","61.5%","83.3%","91.7%","85.7%","66.7%"
"Cooper Kupp","2023","273","100.0%","72.6%","76.9%","59.0%","47.4%","53.8%","70.6%","83.3%","75.0%","90.7%","90.0%"
"A.J. Brown","2023","280","100.0%","87.5%","88.7%","87.2%","71.4%","66.7%","62.5%","75.0%","88.9%","75.0%","66.7%"
"CeeDee Lamb","2023","297","100.0%","89.7%","83.8%","73.7%","76.0%","60.0%","76.5%","80.0%","85.7%","84.0%","78.3%"
"Justin Jefferson","2023","330","100.0%","85.7%","83.3%","81.6%","75.0%","55.6%","75.0%","85.1%","88.9%","89.5%","81.8%"
"Davante Adams","2023","270","100.0%","89.8%","95.7%","81.8%","87.0%","58.7%","57.1%","91.7%","62.5%","80.0%","57.1%"
"Tyreek Hill","2023","239","100.0%","81.4%","66.7%","75.0%","82.8%","69.4%","84.6%","85.0%","100.0%","86.7%","84.6%"
"Rashod Bateman","2023","174","100.0%","89.3%","88.6%","76.3%","60.0%","39.3%","25.0%","90.0%","83.3%","100.0%","70.0%"
"Isaiah Hodgins*","2022","210","N/A","73.7%","80.5%","72.9%","75.0%","47.1%","40.0%","73.7%","100.0%","87.5%","100.0%"
"Jakobi Meyers","2022","246","100.0%","79.6%","80.0%","82.9%","69.7%","53.8%","33.3%","52.9%","100.0%","92.6%","87.5%"
"Mike Evans","2022","350","100.0%","81.8%","81.1%","65.5%","69.2%","62.9%","62.5%","75.0%","44.4%","78.6%","72.7%"
"JuJu Smith-Schuster","2022","226","100.0%","78.6%","78.1%","75.0%","54.5%","26.7%","33.3%","66.7%","33.3%","83.3%","54.5%"
"D.J. Chark","2022","247","100.0%","68.2%","61.5%","48.0%","58.6%","41.9%","26.3%","77.8%","45.5%","75.0%","80.0%"
"DeAndre Hopkins","2022","305","100.0%","77.4%","82.4%","81.8%","69.6%","48.0%","73.3%","91.7%","87.5%","90.9%","66.7%"
"Michael Thomas*","2022","103","100.0%","81.3%","68.4%","69.6%","75.0%","42.9%","66.7%","71.4%","80.0%","85.7%","100.0%"
