"Player","Year","Tar","Contested Tar","Contested Tar%","Contested Catch%"
"Marvin Jones","2018","59","17","28.8%","76.5%"
"Michael Thomas","2018","98","23","23.5%","82.6%"
"Mike Evans","2018","74","25","33.8%","80.0%"
"Mike Williams","2018","39","13","33.3%","84.6%"
"Mohamed Sanu","2018","56","6","10.7%","83.3%"
"Odell Beckham","2018","91","14","15.4%","71.4%"
"Robby Anderson","2018","66","15","22.7%","53.3%"
"Robert Woods","2018","68","11","16.2%","72.7%"
"Sammy Watkins","2018","58","4","6.9%","50.0%"
"Stefon Diggs","2018","90","17","18.9%","82.4%"
"Sterling Shepard","2018","54","18","33.3%","72.2%"
"T.Y. Hilton","2018","67","10","14.9%","60.0%"
"Tyler Boyd","2018","73","11","15.1%","72.7%"
"Tyler Lockett","2018","40","6","15.0%","83.3%"
"Tyreek Hill","2018","76","13","17.1%","69.2%"
"Will Fuller*","2018","49","8","16.3%","87.5%"
"A.J. Green","2017","85","19","22.4%","68.4%"
"Adam Thielen","2017","82","15","18.3%","86.7%"
"Allen Hurns","2017","52","12","23.1%","91.7%"
"Alshon Jeffery","2017","61","17","27.9%","76.5%"
"Amari Cooper","2017","67","12","17.9%","16.7%"
"Antonio Brown","2017","109","20","18.3%","70.0%"
"Brandin Cooks","2017","60","10","16.7%","60.0%"
"Chris Hogan","2017","50","12","24.0%","66.7%"
"Cooper Kupp","2017","58","8","13.8%","75.0%"
"Corey Davis","2017","56","11","19.6%","63.6%"
"Davante Adams","2017","75","8","10.7%","62.5%"
"DeAndre Hopkins","2017","104","30","28.8%","80.0%"
"Demaryius Thomas","2017","80","16","20.0%","87.5%"
"DeSean Jackson","2017","63","8","12.7%","87.5%"
"DeVante Parker","2017","64","25","39.1%","52.0%"
"Devin Funchess","2017","63","15","23.8%","73.3%"
"Dez Bryant","2017","69","16","23.2%","62.5%"
"Doug Baldwin","2017","62","10","16.1%","50.0%"
"Emmanuel Sanders","2017","75","15","20.0%","53.3%"
"Golden Tate","2017","61","6","9.8%","83.3%"
"Jamison Crowder","2017","57","7","12.3%","71.4%"
"Jarvis Landry","2017","83","13","15.7%","76.9%"
"Jordy Nelson","2017","62","9","14.5%","55.6%"
"Josh Doctson","2017","51","8","15.7%","62.5%"
"Josh Gordon*","2017","44","11","25.0%","54.5%"
"JuJu Smith-Schuster","2017","51","6","11.8%","83.3%"
"Julio Jones","2017","81","18","22.2%","72.2%"
"Keelan Cole","2017","57","9","15.8%","66.7%"
"Keenan Allen","2017","91","12","13.2%","66.7%"
"Kelvin Benjamin","2017","51","19","37.3%","73.7%"
"Kenny Golladay","2017","44","13","29.5%","46.2%"
"Kenny Stills","2017","59","15","25.4%","73.3%"
"Larry Fitzgerald","2017","84","16","19.0%","81.3%"
"Marqise Lee","2017","65","12","18.5%","58.3%"
"Marquise Goodwin","2017","78","14","17.9%","71.4%"
"Marvin Jones","2017","64","19","29.7%","73.7%"
